Time,Capacity
2021-06-13 13:25:06,20
2021-06-13 13:30:05,17
2021-06-13 13:35:08,15
2021-06-13 13:40:08,16
2021-06-13 13:45:06,16
2021-06-13 13:50:05,17
2021-06-13 13:55:13,16
2021-06-13 14:00:04,15
2021-06-13 14:05:05,17
2021-06-13 14:10:07,15
2021-06-13 14:15:03,15
2021-06-13 14:20:03,15
2021-06-13 14:25:08,13
2021-06-13 14:30:07,12
2021-06-13 14:35:06,11
2021-06-13 14:40:07,10
2021-06-13 14:45:06,8
2021-06-13 14:50:05,8
2021-06-13 14:55:05,8
2021-06-13 15:00:05,8
2021-06-13 15:05:04,9
2021-06-13 15:10:07,10
2021-06-13 15:15:05,11
2021-06-13 15:20:05,11
2021-06-13 15:25:05,11
2021-06-13 15:30:05,11
2021-06-13 15:35:08,12
2021-06-13 15:40:07,12
2021-06-13 15:45:07,13
2021-06-13 15:50:04,13
2021-06-13 15:55:04,13
2021-06-13 16:00:05,13
2021-06-13 16:05:04,12
2021-06-13 16:10:03,14
2021-06-13 16:15:03,15
2021-06-13 16:20:03,16
2021-06-13 16:25:05,16
2021-06-13 16:30:04,14
2021-06-13 16:35:06,15
2021-06-13 16:40:04,14
2021-06-13 16:45:04,13
2021-06-13 16:50:04,15
2021-06-13 16:55:04,15
2021-06-13 17:00:07,16
2021-06-13 17:05:08,16
2021-06-13 17:10:04,18
2021-06-13 17:15:02,17
2021-06-13 17:20:06,16
2021-06-13 17:25:04,14
2021-06-13 17:30:03,13
2021-06-13 17:35:08,13
2021-06-13 17:40:05,13
2021-06-13 17:45:03,13
2021-06-13 17:50:06,14
2021-06-13 17:55:02,14
2021-06-13 18:00:05,12
2021-06-13 18:05:03,9
2021-06-13 18:10:08,8
2021-06-13 18:15:02,10
2021-06-13 18:20:04,10
2021-06-13 18:25:04,10
2021-06-13 18:30:03,10
2021-06-13 18:35:09,10
2021-06-13 18:40:08,13
2021-06-13 18:45:06,14
2021-06-13 18:50:08,14
2021-06-13 18:55:05,15
2021-06-13 19:00:06,13
2021-06-13 19:05:03,13
2021-06-13 19:10:04,15
2021-06-13 19:15:04,15
2021-06-13 19:20:03,15
